PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
HIP 57050 b,0,0.298,,41.397,0.163506,0.314,,,,,218.6,,RV,2010,10/04/27,11 41 45,+42 45 07,11,0.34,0.4,0.32,3190,,Confirmed planets
Fomalhaut b,2,,,320000,177,0.8,26,,152,305,,,imaging,2008,13/05/12,22 57 39,-29 37 20,7.704,1.92,1.84,,8590,,"Controversial, Planets in binary systems, S-type"
Kepler-1047 b,0,,0.186,56.1886887,,,,,,,,,transit,2016,16/05/10,19 14 35,+50 47 20,,1.08,1.13,0.29,5754,,Confirmed planets
Kepler-1047 c,0,,0.088,3.18897601,,,,,,,,,transit,2016,16/05/10,19 14 35,+50 47 20,,1.08,1.13,0.29,5754,,Confirmed planets
KOI-830 b,0,1.27,1.08,3.52563254,0.0433,,,,,89.36,1070,,transit,2014,14/10/02,19 22 20,+40 34 39,720,0.87,0.8,0.09,5150,5,Confirmed planets
CoRoT-3 b,0,21.66,1.01,4.2568,0.057,0,,,,85.9,1554.7,,transit,2008,12/04/05,19 28 13,+00 07 19,680,1.37,1.56,-0.02,6740,,Confirmed planets
HD 30562 b,0,1.373,,1159,2.315,0.778,78.4,,,,208.7,,RV,2009,12/11/29,04 48 36,-05 40 27,26.5,1.23,1.53,0.29,5861,3.6,Confirmed planets
Kepler-1120 b,0,,0.123,2.94902905,,,,,,,,,transit,2016,16/05/10,19 23 39,+42 17 12,,0.78,0.74,-0.04,4904,,Confirmed planets
HD 132563 B b,2,1.49,,1544,2.62,0.22,,,,,158.5,,RV,2011,11/07/06,14 58 21.519,+44 02 35.33,96,1.01,,-0.19,5985,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-230 b,0,,0.38822,32.625555,,,,,,,,,transit,2014,14/02/26,19 02 52,+48 30 21,894.5,0.918,0.817,,5588,,Confirmed planets
Kepler-230 c,0,,0.18591,91.773242,,,,,,,,,transit,2014,14/02/26,19 02 52,+48 30 21,894.5,0.918,0.817,,5588,,Confirmed planets
WASP-71 b,0,2.242,1.46,2.9036747,0.04631,0,,,,84.2,1888.1,,transit,2012,14/01/26,01 57 03,+00 45 32,200,1.559,2.26,,6050,,Confirmed planets
HD 34445 b,0,0.79,,1049,2.07,0.27,104,,,,,,RV,2010,16/03/09,05 17 40.98051,+07 21 12.0508,46.5,1.07,1.38,0.14,5836,8.5,Confirmed planets
Omega Serpentis b,0,1.7,,277.02,1.1,0.106,132,,,,,,RV,2013,13/04/17,15 50 17.55,+02 11 47.44,83.8,2.17,12.3,-0.24,4770,,Confirmed planets
Kepler-96 b,0,,0.243318,16.2385,,,,,,,,,transit,2014,14/02/24,19 48 17,+40 31 30,128,1,1.02,0.04,5690,2.34,Confirmed planets
Kepler-1227 b,0,,0.204,94.2887577,,,,,,,,,transit,2016,16/05/10,19 08 16,+41 52 30,,0.97,0.95,-0.04,5747,,Confirmed planets
Kepler-888 b,0,,0.157,70.6979061,,,,,,,,,transit,2016,16/05/10,19 42 05,+49 44 19,,0.97,0.9,-0.21,5875,,Confirmed planets
HIP 57274 b,0,0.036,,8.1352,0.07,0.187,,,,,636.3,,RV,2011,11/09/15,11 44 41,+30 57 33,25.92,0.73,0.68,0.09,4640,,Confirmed planets
HIP 57274 c,0,0.41,,32.03,0.178,0.05,,,,,399.8,,RV,2011,11/09/15,11 44 41,+30 57 33,25.92,0.73,0.68,0.09,4640,,Confirmed planets
HIP 57274 d,0,0.527,,431.7,1.01,0.27,,,,,167.1,,RV,2011,11/09/15,11 44 41,+30 57 33,25.92,0.73,0.68,0.09,4640,,Confirmed planets
Kepler-334 c,0,,0.13032,12.758005,,,,,,,,,transit,2014,14/02/26,19 08 33,+47 06 54,439.8,1.06,1.068,,5828,,Confirmed planets
Kepler-334 b,0,,0.10207,5.470319,,,,,,,,,transit,2014,14/02/26,19 08 33,+47 06 54,439.8,1.06,1.068,,5828,,Confirmed planets
Kepler-334 d,0,,0.12849,25.09849,,,,,,,,,transit,2014,14/02/26,19 08 33,+47 06 54,439.8,1.06,1.068,,5828,,Confirmed planets
Kepler-297 b,0,,0.26154,38.871826,,,,,,,,,transit,2014,14/02/26,18 52 50,+48 46 39,684.83,1.04,1.04,-0.12,6150,,Confirmed planets
Kepler-297 c,0,0.13,0.66,74.920137,,,,,,,,,transit,2014,15/12/03,18 52 50,+48 46 39,684.83,1.04,1.04,-0.12,6150,,Confirmed planets
Kepler-36 b,0,0.01346359,0.13778,13.83988,0.1151,,,,,,978.8,,transit,2012,12/06/22,19 25 00,+49 13 54,436.937,1.071,1.619,,5911,,Confirmed planets
Kepler-36 c,0,0.02541726,0.33526835,16.23855,0.1283,,,,,,927.8,,transit,2012,12/06/22,19 25 00,+49 13 54,436.937,1.071,1.619,,5911,,Confirmed planets
HATS-29 b,0,0.653,1.251,4.6058749,0.05475,0.079,,,,87.37,,,transit,2016,16/07/28,09 00 23,-54 06 24,351,1.032,1.073,0.16,5670,5.5,Confirmed planets
Kepler-1428 b,0,,0.146,10.67607169,,,,,,,,,transit,2016,16/05/10,19 50 34,+49 35 42,,1.28,1.36,0.35,6184,,Confirmed planets
HD 142415 b,0,1.62,,386.3,1.05,0.5,,,,,250.5,,RV,2003,10/12/29,15 57 40,-60 12 00,34.2,1.09,1.03,0.21,5834,,Confirmed planets
WASP-107 b,0,0.12,0.94,5.72149,0.055,0,,90,,89.7,,,,2017,17/02/17,12 33 33,-10 51 14,,0.69,0.66,0.02,4430,,Confirmed planets
Kepler-956 b,0,,0.268,5.24867263,,,,,,,,,transit,2016,16/05/10,19 30 07,+49 03 42,,1.1,1.15,0.02,6040,,Confirmed planets
Kepler-110 b,0,,0.16677,12.691112,,,,,,,,,transit,2014,14/02/26,19 31 42,+48 36 10,532.42,1.067,1.149,,5960,,Confirmed planets
Kepler-110 c,0,,0.2014,31.719775,,,,,,,,,transit,2014,14/02/26,19 31 42,+48 36 10,532.42,1.067,1.149,,5960,,Confirmed planets
Kepler-152 b,0,,0.25425,18.207973,,,,,,,,,transit,2014,14/02/26,19 07 27,+41 59 20,456.33,,0.724,,5088,,Confirmed planets
Kepler-152 c,0,,0.2178,88.255055,,,,,,,,,transit,2014,14/02/26,19 07 27,+41 59 20,456.33,,0.724,,5088,,Confirmed planets
KIC 9663113 b,0,,0.41,572.3847,,,,,,89.768,,,transit,2015,16/01/09,19 48 10.901,+46 19 43.32,,0.975,1.03,-0.28,6065,,Confirmed planets
KOI-179.01,0,,0.2935,20.74028413,,,,,,88.81,,,transit,2014,16/01/09,19 48 10.901,+46 19 43.32,,0.975,1.03,-0.28,6065,,Controversial
Kepler-1470 b,0,,0.095,16.2950903,,,,,,,,,transit,2016,16/05/10,19 14 47,+39 52 59,,0.8,0.76,-0.01,4961,,Confirmed planets
Kepler-276 c,0,,0.30984,31.884362,,,,,,,,,transit,2014,14/02/26,19 34 16,+39 02 10,1559.37,1.05,1.046,,6105,,Confirmed planets
Kepler-276 b,0,,0.26154,14.12841,,,,,,,,,transit,2014,14/02/26,19 34 16,+39 02 10,1559.37,1.05,1.046,,6105,,Confirmed planets
Kepler-276 d,0,,0.25608,48.648869,,,,,,,,,transit,2014,14/02/26,19 34 16,+39 02 10,1559.37,1.05,1.046,,6105,,Confirmed planets
Kepler-978 b,0,,0.267,49.6221509,,,,,,,,,transit,2016,16/05/10,19 06 51,+43 02 36,,1.07,1.09,-0.01,6002,,Confirmed planets
Kepler-1298 b,0,,0.117,7.12811928,,,,,,,,,transit,2016,16/05/10,18 57 41,+49 06 22,,1.45,2,0.13,6339,,Confirmed planets
WASP-25 b,0,0.58,1.26,3.76483,0.0474,0,,,,87.7,1135,,transit,2010,12/03/23,13 01 26,-27 31 20,169,1,0.95,-0.05,5750,,Confirmed planets
Kepler-719 b,0,,0.76,5.00731778,,,,,,,,,transit,2016,16/05/10,19 42 09,+43 53 04,,0.99,0.98,-0.02,5777,,Confirmed planets
Kepler-948 b,0,,0.165,7.76846622,,,,,,,,,transit,2016,16/05/10,19 33 12,+41 31 24,,0.96,0.94,-0.02,5679,,Confirmed planets
Kepler-1280 b,0,,0.167,66.5579057,,,,,,,,,transit,2016,16/05/10,19 34 18,+45 23 04,,1.2,1.32,0.04,6227,,Confirmed planets
Kepler-1254 b,0,,0.138,9.99113313,,,,,,,,,transit,2016,16/05/10,19 00 42,+48 46 12,,0.78,0.75,-0.1,4985,,Confirmed planets
Kepler-1254 c,0,,0.116,3.60084276,,,,,,,,,transit,2016,16/05/10,19 00 42,+48 46 12,,0.78,0.75,-0.1,4985,,Confirmed planets
Kepler-1254 d,0,,0.117,5.72717226,,,,,,,,,transit,2016,16/05/10,19 00 42,+48 46 12,,0.78,0.75,-0.1,4985,,Confirmed planets
Kepler-338 b,0,0.0963,0.22236,13.726976,0.116,0.04,,,,89.4,,,transit,2014,15/07/28,18 51 54,+40 47 03,545.29,1.101,1.735,-0.07,5923,,Confirmed planets
Kepler-338 c,0,,0.21324,24.310856,0.17,0.03,,,,89.9,,,transit,2014,15/07/28,18 51 54,+40 47 03,545.29,1.101,1.735,-0.07,5923,,Confirmed planets
Kepler-338 d,0,,0.27339,44.431014,,0.03,,,,,,,transit,2014,15/07/28,18 51 54,+40 47 03,545.29,1.101,1.735,-0.07,5923,,Confirmed planets
Kepler-338 e,0,0.027,0.139,9.34149,0.09,0.05,,,,,,,transit,2014,15/07/28,18 51 54,+40 47 03,545.29,1.101,1.735,-0.07,5923,,Confirmed planets
Kepler-318 b,0,,0.42922,4.662715,,,,,,,,,transit,2014,14/02/26,19 53 55,+46 47 37,605,0.98,1.189,,5746,,Confirmed planets
Kepler-318 c,0,,0.33536,11.815007,,,,,,,,,transit,2014,14/02/26,19 53 55,+46 47 37,605,0.98,1.189,,5746,,Confirmed planets
Kepler-985 b,0,,0.266,116.331901,,,,,,,,,transit,2016,16/05/10,19 20 35,+44 02 60,,0.91,0.85,0,5434,,Confirmed planets
HD 564 b,0,0.33,,492.3,1.2,0.096,314,,,,,,RV,2014,15/11/17,00 09 52.82123,-50 16 04.1606,53.6,0.961,1.01,-0.2,5902,5.5,Confirmed planets
WASP-157 b,0,0.576,1.045,3.9516205,0.0529,0,,,,85.19,,,RV,2016,16/03/18,13 26 37,-08 40 57,,1.26,1.11,0.34,5840,1,Confirmed planets
Kepler-445 b,0,,0.143986,2.984151,0.102,,,,,89.74,,,transit,2015,15/01/06,19 54 56.668,+46 29 55.08,90,0.18,0.21,0.27,3157,,Confirmed planets
Kepler-445 c,0,,0.228737,4.871229,0.141,,,,,89.91,,,transit,2015,15/01/06,19 54 56.668,+46 29 55.08,90,0.18,0.21,0.27,3157,,Confirmed planets
Kepler-445 d,0,,0.113913,8.15275,0.2,,,,,89.61,,,transit,2015,15/01/06,19 54 56.668,+46 29 55.08,90,0.18,0.21,0.27,3157,,Confirmed planets
Kepler-1517 b,0,,0.871,5.54608367,,,,,,,,,transit,2016,16/05/10,19 11 14,+43 11 20,,1.58,1.95,0.01,7010,,Confirmed planets
Kepler-1245 b,0,,0.128,4.35409304,,,,,,,,,transit,2016,16/05/10,19 22 59,+43 15 39,,0.86,0.83,-0.01,5306,,Confirmed planets
Kepler-1245 c,0,,0.128,2.93658468,,,,,,,,,transit,2016,16/05/10,19 22 59,+43 15 39,,0.86,0.83,-0.01,5306,,Confirmed planets
Kepler-66 b,0,,0.255165,17.815815,0.1352,,,,,,,,transit,2013,13/06/26,19 35 56,+46 41 16,1107,1.038,0.966,0.012,5962,1,"Confirmed planets, Planets in open clusters"
Kepler-528 b,0,,0.186,19.78297415,,,,,,,,,transit,2016,16/05/10,19 42 44,+47 44 53,,1.01,1.06,0.02,5807,,Confirmed planets
Kepler-112 b,0,,0.21507,8.408878,,,,,,,,,transit,2014,14/02/26,19 47 55,+43 12 35,495.55,0.946,0.841,,5544,,Confirmed planets
Kepler-112 c,0,,0.21871,28.574263,,,,,,,,,transit,2014,14/02/26,19 47 55,+43 12 35,495.55,0.946,0.841,,5544,,Confirmed planets
Kepler-421 b,0,,0.379102,704.1984,1.219,0.041,160,,,89.965,184,,transit,2014,14/07/21,18 53 01,+45 05 16,320,0.794,0.757,-0.25,5308,4,Confirmed planets
Kepler-388 b,0,,0.07382,3.173315,,,,,,,,,transit,2014,14/02/26,18 59 18,+44 36 31,399.01,0.635,0.586,,4498,,Confirmed planets
Kepler-388 c,0,,0.07837,13.297004,,,,,,,,,transit,2014,14/02/26,18 59 18,+44 36 31,399.01,0.635,0.586,,4498,,Confirmed planets
Kepler-589 b,0,,0.203,16.54964934,,,,,,,,,transit,2016,16/05/10,18 42 34,+47 45 07,,0.88,0.83,0.01,5296,,Confirmed planets
Kepler-1003 b,0,,0.159,3.55485691,,,,,,,,,transit,2016,16/05/10,19 28 05,+44 52 34,,1.11,1.17,0.01,6109,,Confirmed planets
Kepler-703 b,0,,0.732,4.58352176,,,,,,,,,transit,2016,16/05/10,19 56 45,+41 44 34,,1.18,1.27,0.05,6185,,Confirmed planets
