PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
Kepler-1016 b,0,,0.194,1.95452434,,,,,,,,,transit,2016,16/05/10,19 38 27,+45 59 05,,0.99,1,-0.03,5821,,Confirmed planets
Kepler-1016 c,0,,0.328,105.6551369,,,,,,,,,transit,2016,16/05/10,19 38 27,+45 59 05,,0.99,1,-0.03,5821,,Confirmed planets
NY Virginis (AB) b,1,2.3,,2900,3.3,,,,,,,,timing,2011,12/12/08,13 38 48,-02 01 49,613.18,,,,,,"Confirmed planets, Planets in binary systems, P-type"
HD 219077 b,0,10.39,,5501,6.22,0.77,57.61,,,,124.9,,RV,2012,12/11/29,23 14 07,-62 42 00,29,1.05,1.91,-0.13,5362,8.9,Confirmed planets
HW Vir (AB) b,1,14.3,,4640,4.69,0.4,,,,,,,timing,2008,12/11/24,12 44 20.23731,-08 40 16.8338,181,,,,,,"Controversial, Planets in binary systems, P-type"
WASP-13 b,0,0.5,1.407,4.3530135,0.05379,0,,,,85.43,1203.3,,transit,2008,14/03/20,09 20 25,+33 52 57,155,1.187,1.559,0,5989,,Confirmed planets
HD 215152 b,0,0.0087,,7.2825,0.0652,0.34,,,,,704.7,,RV,2011,11/09/12,22 43 21,-06 24 03,21.5,,,,5150,,Confirmed planets
HD 215152 c,0,0.0097,,10.866,0.0852,0.38,,,,,615.3,,RV,2011,11/09/12,22 43 21,-06 24 03,21.5,,,,5150,,Confirmed planets
18 Del b,0,10.3,,993.3,2.6,0.08,166.1,,,,,,RV,2008,15/09/23,20 58 25.93397,+10 50 21.4289,75.3,2.3,8.5,-0.052,4979,,Confirmed planets
Kepler-210 c,0,,0.436,7.9725,0.03710232851,,,,,85.73,,,transit,2014,14/03/14,19 30 00,+43 04 59,265.15,0.612,0.65,,4559,0.35,Confirmed planets
Kepler-210 b,0,,0.3419,2.4532,0.01420769609,,,,,77.86,,,transit,2014,14/03/14,19 30 00,+43 04 59,265.15,0.612,0.65,,4559,0.35,Confirmed planets
HD 210702 b,0,1.9,,354.8,1.2,0.094,126,,,,,,RV,2007,15/11/02,22 11 51.33086,+16 02 25.9903,54.9,1.68,5.1,0.12,4967,,Confirmed planets
Kepler-1110 b,0,,0.237,9.69312032,,,,,,,,,transit,2016,16/05/10,19 27 14,+38 37 22,,0.73,0.7,-0.16,4781,,Confirmed planets
HD 165155 b,0,2.89,,434.5,1.13,0.2,211,,,,,,RV,2016,16/04/02,18 05 57,-29 04 58,64.98,1.02,0.95,0.09,5426,11,Confirmed planets
HD 210277 b,0,1.23,,442.1,1.1,0.472,,,,,240.3,,RV,1998,06/09/06,22 09 29,-07 32 32,21.29,1.09,1.1,0.19,5532,,Confirmed planets
WASP-135 b,0,1.9,1.3,1.4013794,0.0243,0,,,,82,,,transit,2015,15/11/21,17 49 08.4,+29 52 45.0,300,0.98,0.96,0.02,5675,0.6,Confirmed planets
HIP 67537 b,0,11.1,,2592.5,4.96,0.59,120.7,,,,,,,2016,17/01/24,13 50 19,-39 05 57,112.6,2.41,8.69,0.15,4985,,Confirmed planets
Kepler-532 b,0,,0.229,12.92491623,,,,,,,,,transit,2016,16/05/10,19 54 39,+48 36 23,,0.87,0.79,0,5192,,Confirmed planets
Kepler-1390 b,0,,0.105,6.48021673,,,,,,,,,transit,2016,16/05/10,19 54 39,+48 14 56,,0.98,0.98,-0.01,5753,,Confirmed planets
Gliese 15 A b,2,0.01683,,11.4433,0.0717,0,,,,,,,RV,2014,15/12/12,00 18 22.88532,+44 01 22.6282,3.587,0.375,0.3863,-0.32,3567,,"Confirmed planets, Planets in binary systems, S-type"
HD 330075 b,0,0.62,,3.38773,0.039,0,,,,,1023.2,,RV,2004,10/12/29,15 49 37,-49 57 48,50.2,0.95,,0.03,6295,,Confirmed planets
Kepler-891 b,0,,0.572,53.44945593,,,,,,,,,transit,2016,16/05/10,19 24 20,+40 21 19,,1.06,1.07,0.09,5887,,Confirmed planets
Kepler-1402 b,0,,0.068,2.03387914,,,,,,,,,transit,2016,16/05/10,19 27 23,+48 58 05,,0.9,0.87,0.03,5416,,Confirmed planets
Kepler-1182 b,0,,0.215,11.17394617,,,,,,,,,transit,2016,16/05/10,19 45 14,+43 49 17,,1.04,1.05,0.01,5924,,Confirmed planets
HAT-P-55 b,0,0.582,1.182,,0.04604,,,,,87.7,1313,,transit,2015,15/06/11,17 37 05.52,+25 43 52.3,480,1.013,1.011,-0.03,5808,4.2,Confirmed planets
Kepler-45 b,0,0.505,0.96,2.455239,0.027,0.11,,,,87,774,,transit,2011,13/03/25,19 31 30,+41 03 51,333,0.59,0.55,0.08,3820,13.9,Confirmed planets
Kepler-1490 b,0,,0.271,92.4362973,,,,,,,,,transit,2016,16/05/10,19 42 46,+42 36 34,,0.9,0.87,-0.08,5515,,Confirmed planets
WASP-121 b,0,1.183,1.807,1.2749255,0.02544,,,,,87.6,2358,,transit,2015,15/06/08,07 10 24.058,-39 05 50.55,270,1.353,1.458,0.13,6459,1.5,Confirmed planets
Kepler-25 b,0,,0.2411,6.2385369,0.068,0.05,,,,,1220.6,,transit,2012,15/06/09,19 06 33,+38 20 37,191,1.26,1.34,0.11,6354,2.75,Confirmed planets
Kepler-25 c,0,,0.4598,12.7203678,0.11,0.01,,,,,959.7,,transit,2012,15/06/09,19 06 33,+38 20 37,191,1.26,1.34,0.11,6354,2.75,Confirmed planets
HD 9446 b,0,0.7,,30.052,0.189,0.2,,,,,586.1,,RV,2010,10/01/05,01 33 20,+29 15 55,53,1,1,0.09,5793,,Confirmed planets
HD 9446 c,0,1.82,,192.9,0.654,0.06,,,,,315.8,,RV,2010,10/01/05,01 33 20,+29 15 55,53,1,1,0.09,5793,,Confirmed planets
Kepler-997 b,0,,0.121,2.70730672,,,,,,,,,transit,2016,16/05/10,19 16 56,+49 56 20,,1.22,1.56,0.05,6150,,Confirmed planets
HD 125612 b,0,3,,502,1.37,0.46,,,,,224.5,,RV,2007,10/12/06,14 20 54,-17 28 53,52.82,1.1,1.05,0.24,5897,,Confirmed planets
HD 125612 c,0,0.058,,4.1547,0.05,0.27,,,,,1186,,RV,2009,10/12/06,14 20 54,-17 28 53,52.82,1.1,1.05,0.24,5897,,Confirmed planets
HD 125612 d,0,7.2,,3008,4.2,0.28,,,,,129.4,,RV,2009,10/12/06,14 20 54,-17 28 53,52.82,1.1,1.05,0.24,5897,,Confirmed planets
Kepler-362 c,0,,0.13214,37.866281,,,,,,,,,transit,2014,14/02/26,19 27 05,+47 31 47,648.69,,0.722,,5788,,Confirmed planets
Kepler-362 b,0,,0.08019,10.327186,,,,,,,,,transit,2014,14/02/26,19 27 05,+47 31 47,648.69,,0.722,,5788,,Confirmed planets
Kepler-241 b,0,,0.21233,12.718092,,,,,,,,,transit,2014,14/02/26,19 31 39,+41 03 39,595.71,0.671,0.668,,4699,,Confirmed planets
Kepler-241 c,0,,0.2342,36.065978,,,,,,,,,transit,2014,14/02/26,19 31 39,+41 03 39,595.71,0.671,0.668,,4699,,Confirmed planets
Qatar-2 b,0,2.487,1.144,1.3371182,0.02149,0,,,,88.3,1179.7,,transit,2011,11/10/28,13 50 37,-06 48 14,,0.74,0.713,,4645,,Confirmed planets
Kepler-1214 b,0,,0.211,18.82634264,,,,,,,,,transit,2016,16/05/10,19 00 34,+49 48 02,,0.85,0.8,0.05,5130,,Confirmed planets
Kepler-102 e,0,0.028091,0.202309,16.1457,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41,Confirmed planets
Kepler-102 d,0,0.011954,0.107534,10.3117,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41,Confirmed planets
Kepler-102 f,0,,0.080195,27.4536,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41,Confirmed planets
Kepler-102 c,0,,0.052856,7.07142,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41,Confirmed planets
Kepler-102 b,0,,0.042831,5.28696,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41,Confirmed planets
HAT-P-37 b,0,1.169,1.178,2.797436,0.0378,0.058,,,,86.9,1166.3,,transit,2012,12/01/04,18 57 11,+51 16 09,411,0.929,0.877,0.03,5500,,Confirmed planets
EPIC 218916923 b,0,0.381,0.812,28.38229,0.1811,0,,,,89.55,,,,2017,17/02/03,19 16 16,-17 05 22,152,0.918,0.86,0.21,5287,1.8,Confirmed planets
WASP-8 b,2,2.244,1.038,8.158715,0.0801,0.31,,,,88.55,846.5,,transit,2008,12/04/08,23 59 36,-35 01 53,87,1.033,0.953,0.17,5600,,"Confirmed planets, Planets in binary systems, S-type"
HR 810 b,0,2.26,,320.1,0.925,0.161,,,,,373.3,,RV,1999,10/12/29,02 42 31,-50 48 12,17.17,1.11,1.85,0.25,5997,,Confirmed planets
HAT-P-29 b,0,0.778,1.107,5.72318,0.0667,0.095,,,,87.1,1149.1,,transit,2011,13/05/29,02 12 31,+51 46 44,322,1.207,1.224,0.21,6087,,Confirmed planets
HD 4732 b,0,2.37,,360.2,1.19,0.13,,,,,,,RV,2012,12/10/26,00 49 13,-24 08 12,56.5,1.74,5.4,0.01,4959,,Confirmed planets
HD 4732 c,0,2.37,,2732,4.6,0.23,,,,,,,RV,2012,12/10/26,00 49 13,-24 08 12,56.5,1.74,5.4,0.01,4959,,Confirmed planets
WASP-140 b,0,2.44,1.44,2.2359835,0.0323,0.047,356,,,83.3,,,transit,2016,16/07/11,04 01 33,-20 32 56,180,0.9,0.87,0.12,5260,1.6,Confirmed planets
HD 1666 b,0,6.43,,270,0.94,0.63,,,,,,,RV,2015,15/03/26,00 20 52.33959,-19 55 52.4083,110.6,1.5,1.93,0.37,6317,1.76,Confirmed planets
Kepler-677 b,0,,0.48,6.57531678,,,,,,,,,transit,2016,16/05/10,19 20 24,+50 19 18,,1,0.99,0.06,5723,,Confirmed planets
Kepler-1362 b,0,,0.232,136.205626,,,,,,,,,transit,2016,16/05/10,19 14 09,+40 52 38,,0.8,0.74,0.06,4857,,Confirmed planets
Kepler-1609 b,0,,0.198,114.34219,,,,,,,,,transit,2016,16/05/10,19 20 35,+39 39 57,,1.18,1.27,0.1,6132,,Confirmed planets
Kepler-434 b,0,2.86,1.13,12.8747099,0.1143,,,,,86.46,1000,,transit,2015,15/01/07,19 34 20.729,+42 45 44.08,1240,1.198,1.38,0.35,5970,,Confirmed planets
Kepler-1534 b,0,,0.169,5.71668872,,,,,,,,,transit,2016,16/05/10,19 29 35,+43 52 09,,0.9,0.86,-0.01,5442,,Confirmed planets
Kepler-1484 b,0,,0.188,30.4549136,,,,,,,,,transit,2016,16/05/10,19 30 44,+38 07 35,,0.94,0.92,-0.17,5730,,Confirmed planets
Kepler-1584 b,0,,0.144,13.3997099,,,,,,,,,transit,2016,16/05/10,19 11 03,+43 16 28,,1.1,1.13,0,6069,,Confirmed planets
Kepler-203 b,0,,0.2342,3.162697,,,,,,,,,transit,2014,14/02/26,19 48 21,+41 23 16,800.07,1.01,1.114,,5821,,Confirmed planets
Kepler-203 c,0,,0.22509,5.370647,,,,,,,,,transit,2014,14/02/26,19 48 21,+41 23 16,800.07,1.01,1.114,,5821,,Confirmed planets
Kepler-203 d,0,,0.13123,11.32972,,,,,,,,,transit,2014,14/02/26,19 48 21,+41 23 16,800.07,1.01,1.114,,5821,,Confirmed planets
Kepler-847 b,0,,0.105,2.3432319,,,,,,,,,transit,2016,16/05/10,18 54 01,+49 27 04,,0.83,0.77,0.15,4940,,Confirmed planets
HAT-P-22 b,0,2.147,1.08,3.21222,0.0414,0.016,,,,86.9,1171.7,,transit,2010,13/05/29,10 22 44,+50 07 42,82,0.916,1.04,0.24,5302,,Confirmed planets
HD 10442 b,0,2.1,,1043,2.335,0.11,,,,,,,RV,2014,14/11/19,01 41 53.142,+02 42 15.77,,1.56,,0.11,5034,,Confirmed planets
Kepler-1028 b,0,,0.119,2.51462432,,,,,,,,,transit,2016,16/05/10,19 18 22,+49 46 52,,0.9,0.87,-0.09,5522,,Confirmed planets
Kepler-261 b,0,,0.19866,10.381227,,,,,,,,,transit,2014,14/02/26,19 25 27,+37 36 33,359.31,0.876,0.794,,5098,,Confirmed planets
Kepler-261 c,0,,0.18226,24.570858,,,,,,,,,transit,2014,14/02/26,19 25 27,+37 36 33,359.31,0.876,0.794,,5098,,Confirmed planets
HATS-10 b,0,0.526,0.969,3.312846,0.04491,,,,,87.79,1407,,transit,2015,15/02/28,19 37 13.80,-22 12 16.1,496,1.101,1.105,0.15,5880,3.3,Confirmed planets
HD 68402 b,0,3.07,,1103,2.18,0.03,341,,,,,,RV,2016,16/04/02,08 05 24,-74 35 22,78,1.12,1.02,0.29,5950,2,Confirmed planets
KIC 8012732 b,0,,0.87,431.4681,,,,,,89.741,,,transit,2015,16/05/23,18 58 55,+43 51 51,,0.92,1.22,0.2,6221,,Confirmed planets
KIC 8540376 b,0,,0.366,31.8099,,,,,,89.3,,,transit,2015,16/01/09,18 49 30.607,+44 41 40.52,,1.035,1.26,-0.16,6474,,Confirmed planets
KIC 8540376 c,0,,0.214,75.2,,,,,,89.701,,,transit,2015,16/01/09,18 49 30.607,+44 41 40.52,,1.035,1.26,-0.16,6474,,Confirmed planets
Kepler-833 b,0,,0.18,18.7546998,,,,,,,,,transit,2016,16/05/10,19 21 55,+45 36 03,,0.64,0.62,-0.18,4339,,Confirmed planets
HATS-5 b,0,0.237,0.912,4.763387,0.0542,,,,,89.3,1025,,transit,2014,14/01/09,04 28 53.489,-21 28 54.90,257,0.936,0.871,0.19,5304,3.6,Confirmed planets
Kepler-38 (AB) b,1,,0.39641678,105.595,0.4644,0.032,,,,90.182,,,transit,2012,12/08/24,19 07 19,+42 16 45,3500,,,,,,"Confirmed planets, Planets in binary systems, P-type"
Kepler-52 c,0,,0.15583,16.384888,,,,,,,,,transit,2014,14/02/26,19 06 57,+49 58 32,356.41,0.577,0.556,,4263,,Confirmed planets
Kepler-52 b,0,,0.21324,7.877407,,,,,,,,,transit,2014,14/02/26,19 06 57,+49 58 32,356.41,0.577,0.556,,4263,,Confirmed planets
Kepler-52 d,0,,0.1777,36.445171,,,,,,,,,transit,2014,14/02/26,19 06 57,+49 58 32,356.41,0.577,0.556,,4263,,Confirmed planets
KOI-206 b,0,2.82,1.45,5.33408384,0.0679,,,,,,1776,,transit,2012,15/01/07,19 50 22.476,+40 58 38.17,1870,1.46,2.26,0.06,6340,,Confirmed planets
Kepler-753 b,0,,0.17,5.74772501,,,,,,,,,transit,2016,16/05/10,19 27 37,+37 54 08,,0.68,0.65,-0.03,4346,,Confirmed planets
WASP-98 b,0,0.83,1.1,2.96264,0.036,,,,,86.3,1180,,transit,2013,13/10/22,03 53 43,-34 19 41,,0.69,0.7,-0.6,5525,,Confirmed planets
TrES-4 A b,2,0.494,1.838,3.55392771,0.0516,,,,,83.07,1795,,transit,2007,15/06/08,17 53 13,+37 12 42,485,1.45,1.81,0.28,6295,2.2,"Confirmed planets, Planets in binary systems, S-type"
HN Peg b,0,22,1.05,,,,,,,,1130,,imaging,2007,11/04/23,21 44 31,+14 46 19,18.4,1,,,5940,,Confirmed planets
CFBDS 1458 b,0,6.5,,9855,2.6,,,,,,,,imaging,2011,11/03/08,14 58 29,+10 13 43,23.1,0.02,,,540,,Confirmed planets
MOA-2007-BLG-400-L b,0,0.9,,,0.85,,,,,,104.6,,microlensing,2008,10/12/06,18 09 42,-29 13 27,6000,0.35,,,5700,,Confirmed planets
HD 17156 b,0,3.191,1.095,21.2163979,0.1623,0.6768,,,,87.21,790.5,,transit,2007,12/04/08,02 49 44,+71 45 12,78.24,1.275,1.508,0.24,6079,,Confirmed planets
HD 1461 b,0,0.0239,,5.7727,0.063438,0.14,,,,,1054.8,,RV,2009,09/12/15,00 18 42,-08 03 11,23.4,1.08,1.095,0.19,5765,,Confirmed planets
HD 1461 c,0,0.0186,,13.505,0.1117,0,,,,,795.9,,RV,2011,11/09/12,00 18 42,-08 03 11,23.4,1.08,1.095,0.19,5765,,Confirmed planets
WASP-31 b,0,0.478,1.537,3.405909,0.04657,0,,,,84.54,1410.6,,transit,2010,12/07/05,11 17 45,-19 03 17,400,1.16,1.24,-0.19,6200,,Confirmed planets
BD-08 2823 b,0,0.045,,5.6,0.056,0.15,30,,,,,,RV,2009,15/11/17,10 00 47.72035,-09 31 00.0340,42.5,0.74,,-0.07,4746,4.5,Confirmed planets
BD-08 2823 c,0,0.33,,237.6,0.68,0.19,-233,,,,,,RV,2009,15/11/17,10 00 47.72035,-09 31 00.0340,42.5,0.74,,-0.07,4746,4.5,Confirmed planets
Kepler-903 b,0,,0.179,10.3507721,,,,,,,,,transit,2016,16/05/10,19 15 05,+40 39 51,,0.98,0.97,0.05,5682,,Confirmed planets
Kepler-903 c,0,,0.226,62.9228557,,,,,,,,,transit,2016,16/05/10,19 15 05,+40 39 51,,0.98,0.97,0.05,5682,,Confirmed planets
WASP-23 b,0,0.884,0.962,2.9444256,0.0376,0.062,,,,88.39,1024,,transit,2010,11/03/24,06 44 31,-42 45 43,,0.78,0.765,,5150,,Confirmed planets
Gliese 876 b,0,2.6697,,61.087,0.218589,0.034,112.27,-174.64,0,52.82,,,RV,2000,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129,,Confirmed planets
Gliese 876 c,0,0.8429,,30.0766,0.135985,0.2539,117.12,-104.6,-1.29,53.06,,,RV,2000,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129,,Confirmed planets
Gliese 876 d,0,0.0217,,1.93787,0.0218393,0.108,162.52,162.28,,88.26,,,RV,2005,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129,,Confirmed planets
Gliese 876 e,0,0.05399,,124.72,0.3343,0.031,-54.2,-42.46,-1.29,53.29,,,RV,2010,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129,,Confirmed planets
Kepler-880 b,0,,0.237,7.71468975,,,,,,,,,transit,2016,16/05/10,18 47 53,+43 40 22,,1.46,1.74,0.03,6761,,Confirmed planets
Mercury,0,0.00017387419,0.034901518,87.97,0.38709843,0.20563661,77.45771895,252.25166724,48.33961819,7.00559432,,,,,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Venus,0,0.0025637401,0.08656491,224.7,0.72332102,0.00676399,131.76755713,181.9797085,76.67261496,3.39777545,,,,,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Earth,0,0.0031457007,0.091130294,365.2422,1.00000018,0.01673163,102.93005885,100.46691572,-5.11260389,-0.00054346,,,,,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Mars,0,0.00033799525,0.048489079,686.98,1.52371243,0.09336511,-23.91744784,-4.56813164,49.71320984,1.85181869,,,,,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Jupiter,0,1,1,4332.82,5.20248019,0.0485359,14.27495244,34.33479152,100.29282654,1.29861416,,,,,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Saturn,0,0.299,0.832944,10755.67,9.54149883,0.05550825,92.86136063,50.07571329,113.63998702,2.49424102,,,,,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Uranus,0,0.0457,0.362775,30687.153,19.18797948,0.0468574,172.43404441,314.20276625,73.96250215,0.77298127,,,,1781,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Neptune,0,0.053953,0.35221925,60190.03,30.06952752,0.00895439,46.68158724,304.22289287,131.78635853,1.7700552,,,,1846,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Pluto,0,7.7581378E-06,0.0164379,90553.02,39.48686035,0.24885238,224.09702598,238.96535011,110.30167986,17.1410426,,,,1930,12/01/01,,,,1,1,1E-08,5778,4.57,Solar System
Kepler-370 c,0,,0.17406,19.02293,,,,,,,,,transit,2014,14/02/26,19 28 41,+40 54 58,1139.98,,0.9,,5852,,Confirmed planets
Kepler-370 b,0,,0.1449,4.57953,,,,,,,,,transit,2014,14/02/26,19 28 41,+40 54 58,1139.98,,0.9,,5852,,Confirmed planets
VHS 1256-1257 b,0,11.2,,,,,,,,,880,,imaging,2015,15/07/23,12 56 01.922,-12 57 23.990,12.7,0.07,,,2620,,Confirmed planets
WASP-35 b,0,0.72,1.32,3.161575,0.04317,0,,,,87.96,1450,,transit,2011,11/04/15,05 04 20,-06 13 47,,1.07,1.09,-0.15,5990,,Confirmed planets
HR 8799 b,0,5,0.7,166510,67.96,0,,,60.89,30.27,1100,,imaging,2008,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033,Confirmed planets
HR 8799 c,0,7,1,83255,42.81,0,,,65.68,29.43,1200,,imaging,2008,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033,Confirmed planets
HR 8799 d,0,7,1.1,41628,26.97,0,,,56.09,38.63,1200,,imaging,2008,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033,Confirmed planets
HR 8799 e,0,7,1,20816,16.99,0,,,145.73,30.95,1200,,imaging,2010,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033,Confirmed planets
Kapteyn b,0,0.015099,,48.616,0.168,0.21,80.4,,,,,,RV,2014,15/05/24,05 11 40.58112,-45 01 06.2899,3.91,0.281,0.291,-0.86,3550,11,Controversial
Kapteyn c,0,0.02202,,121.54,0.311,0.23,,,,,,,RV,2014,14/06/06,05 11 40.58112,-45 01 06.2899,3.91,0.281,0.291,-0.86,3550,11,Confirmed planets
Kepler-519 b,0,,0.187,24.3078946,,,,,,,,,transit,2016,16/05/10,19 57 17,+41 23 05,,0.89,0.8,0.01,5260,,Confirmed planets
Kepler-714 b,0,,0.863,8.09888799,,,,,,,,,transit,2016,16/05/10,18 50 48,+43 16 22,,1.09,1.12,0.04,5995,,Confirmed planets
Kepler-790 b,0,,0.194,13.73469807,,,,,,,,,transit,2016,16/05/10,19 07 40,+38 52 20,,0.84,0.8,-0.05,5208,,Confirmed planets
MOA-2008-BLG-379L b,0,4.1,,,3.3,,,,,,,,microlensing,2013,14/04/18,17 58 49,-30 11 49,3300,0.56,,,,,Confirmed planets
Kepler-1502 b,0,,0.284,41.7083629,,,,,,,,,transit,2016,16/05/10,19 44 26,+39 19 12,,1.44,1.72,0.05,6666,,Confirmed planets
Kepler-500 b,0,,0.23,8.5083244,,,,,,,,,transit,2016,16/05/10,19 43 48,+43 51 07,,1.02,1.03,0.03,5813,,Confirmed planets
Kepler-1048 b,0,,0.144,6.92101021,,,,,,,,,transit,2016,16/05/10,18 47 36,+42 09 57,,0.75,0.7,0.01,4651,,Confirmed planets
Kepler-1545 b,0,,0.241,163.692349,,,,,,,,,transit,2016,16/05/10,19 55 36,+47 27 47,,0.84,0.8,-0.06,5201,,Confirmed planets
Kepler-484 b,0,,0.203,10.04556931,,,,,,,,,transit,2016,16/05/10,18 57 35,+46 14 57,,0.96,0.87,-0.1,5668,,Confirmed planets
Kepler-149 b,0,,0.38366,29.198943,,,,,,,,,transit,2014,14/02/26,19 03 24,+38 23 02,588.12,0.909,0.953,,5381,,Confirmed planets
Kepler-149 d,0,,0.36088,160.018032,,,,,,,,,transit,2014,14/02/26,19 03 24,+38 23 02,588.12,0.909,0.953,,5381,,Confirmed planets
Kepler-149 c,0,,0.14672,55.328328,,,,,,,,,transit,2014,14/02/26,19 03 24,+38 23 02,588.12,0.909,0.953,,5381,,Confirmed planets
Kepler-546 b,0,,0.624,4.14702026,,,,,,,,,transit,2016,16/05/10,18 53 02,+40 59 26,,1.11,1.15,0.14,5967,,Confirmed planets
Kepler-1027 b,0,,0.079,1.9078052,,,,,,,,,transit,2016,16/05/10,19 10 17,+42 48 50,,0.91,0.82,-0.06,5436,,Confirmed planets
Kepler-1174 b,0,,0.142,6.89225223,,,,,,,,,transit,2016,16/05/10,18 47 20,+42 17 56,,1.04,1.04,-0.04,5936,,Confirmed planets
Kepler-188 c,0,,0.29071,5.996553,,,,,,,,,transit,2014,14/02/26,18 45 07,+44 18 55,1201.9,1.01,1.141,,6021,,Confirmed planets
Kepler-188 b,0,,0.1531,2.061897,,,,,,,,,transit,2014,14/02/26,18 45 07,+44 18 55,1201.9,1.01,1.141,,6021,,Confirmed planets
HAT-P-36 b,0,1.832,1.264,1.327,0.0238,0.063,,,,86,1669.2,,transit,2012,13/05/29,12 33 03.909,+44 54 55.18,317,1.022,1.096,0.26,5580,,Confirmed planets
HIP 65891 b,0,6,,1084.5,2.81,0.13,,,,,,,RV,2015,15/05/25,13 30 25.27310,-58 39 51.6746,136,2.5,8.93,0.16,5000,,Confirmed planets
Kepler-1050 b,0,,0.143,15.3787546,,,,,,,,,transit,2016,16/05/10,18 51 42,+48 37 35,,1.09,1.13,0.03,6010,,Confirmed planets
Kepler-1050 c,0,,0.132,21.1284569,,,,,,,,,transit,2016,16/05/10,18 51 42,+48 37 35,,1.09,1.13,0.03,6010,,Confirmed planets
Kepler-1114 b,0,,0.12,14.97435694,,,,,,,,,transit,2016,16/05/10,19 56 57,+45 50 05,,0.87,0.83,-0.08,5374,,Confirmed planets
Kepler-1482 b,0,,0.09,12.25383217,,,,,,,,,transit,2016,16/05/10,19 01 15,+48 43 31,,0.88,0.84,-0.04,5381,,Confirmed planets
Kepler-15 b,0,0.66,0.96,4.942782,0.05714,,,,,87.44,1027.9,,transit,2011,15/12/03,19 44 48.14,+49 08 24.43,,1,0.98,0.36,5514,,Confirmed planets
HD 63454 b,0,0.38,,2.818049,0.036,2E-05,,,,,926.7,,RV,2005,11/06/01,07 39 21,-78 16 44,35.8,0.8,,0.11,4841,,Confirmed planets
Kepler-697 b,0,,0.368,3.70987065,,,,,,,,,transit,2016,16/05/10,18 55 27,+41 20 47,,0.92,0.88,-0.01,5513,,Confirmed planets
Kepler-1520 b,0,,0.515,0.65355357,,,,,,,,,transit,2016,16/05/10,19 23 52,+51 30 17,,0.76,0.71,0.04,4677,,Confirmed planets
Kepler-994 b,0,,0.143,1.15116651,,,,,,,,,transit,2016,16/05/10,19 16 17,+47 24 25,,0.56,0.54,-0.13,3934,,Confirmed planets
Kepler-1308 b,0,,0.046,2.10433812,,,,,,,,,transit,2016,16/05/10,19 03 43,+38 31 15,,0.35,0.34,-0.13,3468,,Confirmed planets
HD 4113 b,0,1.56,,526.62,1.28,0.903,,,,,218.9,,RV,2007,10/12/17,00 43 13,-37 58 57,44,0.99,,0.2,5688,,Confirmed planets
Kepler-216 c,0,,0.27704,17.406669,,,,,,,,,transit,2014,14/02/26,19 34 54,+46 07 44,994.93,1.129,1.26,,6091,,Confirmed planets
Kepler-216 b,0,,0.21416,7.693641,,,,,,,,,transit,2014,14/02/26,19 34 54,+46 07 44,994.93,1.129,1.26,,6091,,Confirmed planets
83 Leonis B b,2,0.087,,17.054,0.12186,0.13,196,,,,,,RV,2004,15/11/02,11 26 45.32180,+03 00 47.1551,17.79,0.832,0.76,0.36,4740,4,"Confirmed planets, Planets in binary systems, S-type"
